ZCTA5,Nearest_Hospital_Distance
76628,20230.861574972165
76630,24252.602697427406
76632,23601.759597298595
76634,50361.08601183678
76635,23753.61154161507
76637,42647.8292326453
76639,31495.820838707747
76641,30415.384938158666
77050,13513.296455521922
77051,4201.099637866398
77056,5629.668957269389
77057,4132.7233735354275
77059,5137.870359644481
79414,4204.701343415886
79783,43520.263857087775
76643,11465.169873213548
77076,6403.438616128944
77080,5970.153515276
77082,0.0
77084,8444.662873304826
77085,3705.673231098693
77087,8277.231656791839
77089,8775.673011428727
77091,0.0
77093,11146.946047605903
77095,6013.559410309382
77098,3929.902147803521
77201,1221.0303493656445
77303,15974.253892907687
77306,21121.49443829803
77318,15344.61009870134
77320,20797.07025788089
77327,0.0
77331,40272.03924256209
77335,19823.185482276825
77338,0.0
77339,0.0
77342,12596.312763527923
77346,8511.377504704435
77351,0.0
77355,19389.805075936732
77357,14455.194031089792
77359,26848.409066423035
77360,27565.634206418807
77363,37818.64641543037
77365,9461.94608321941
77368,20899.748741625954
77369,24080.93313557197
77372,25550.349217517767
77374,35153.62529642556
77378,23120.877195532208
77380,0.0
77381,6513.756934565118
77384,0.0
77386,13347.922469211024
77389,5118.92749523477
77401,6593.324712010816
77406,13221.270308391144
77412,23071.57135223661
77415,16583.707332028553
77417,31662.539911489963
77419,42317.68053615049
77422,14851.723900248333
77426,17926.85532518268
77429,0.0
77430,27383.082278260452
77433,10462.82504939157
77435,42739.348708810045
77977,25355.042647314767
77987,38916.783113478465
77988,11437.588780644199
78005,31706.032213660197
78006,37994.70009528212
78008,38221.481303592176
78010,20109.972421929804
78012,16437.842084460197
78014,44141.255646104306
78016,41152.19940423017
78019,47176.81154230451
78021,48533.03745047137
78023,15673.186400136447
78025,15297.053919006907
78027,44152.26671308672
78029,26282.61759663807
78040,6701.364500906368
78041,0.0
78044,0.0
78046,25822.883607163243
78052,28651.290993181792
78055,32754.23255160211
78057,23993.831205438742
78059,36103.180951603455
77096,2850.029331281653
77440,30158.818675824612
77442,34993.458417504335
77443,19827.7308079426
77445,25860.867089477233
77447,20612.287482855052
77448,33653.150963833694
77451,35862.8046792751
77453,31265.07904717428
77454,39848.76739675596
77457,24583.35222774764
77459,12553.814296442202
77376,32514.155686232025
77506,8642.715274007021
77507,8600.931640590208
77514,43321.45071221787
77517,21514.645524644762
77518,13773.307738408655
77520,8973.392161981927
77523,11077.785574434449
77531,9247.936574599331
77533,47199.55851938223
77535,33632.842746582195
77538,46482.01843790967
77541,18662.8808877307
77545,13843.851532054035
77547,12466.564004808019
77551,46455.247400600914
77560,42675.938915893654
77561,29166.12700916163
77563,33321.01976109943
77565,7763.2982512566405
77568,28301.868453153264
77573,7241.492259974923
77577,34940.635627259944
77578,8425.444448390399
77436,27454.34760913902
78060,44459.32273135211
78063,36830.17121973431
78065,29803.35069988348
78067,54681.44876905074
78070,35362.184251555525
78072,67922.13765808617
78075,40491.19197761804
78076,66113.86659090265
78102,0.0
78107,24035.99701779532
78109,23161.26277214153
78113,22587.964298270326
78114,0.0
78117,35360.042093255564
78119,46376.12867809813
78122,25767.845780985732
78124,20177.188348597385
78130,0.0
78133,30707.452375530902
78140,34567.365461263056
78142,20289.45917723115
78143,35708.26918710077
77062,4564.397063794139
77460,26242.205750520192
77464,24254.23233270327
77466,22015.232373508785
77468,31507.226922278885
77470,20710.620856345966
77473,28439.915382381776
77474,27490.62787369859
77476,19446.600217563424
77478,0.0
77479,0.0
77581,8356.98616199796
77584,0.0
77586,6880.07275772669
77587,4701.750602134241
77591,23438.951774418532
77598,0.0
77612,46990.95801385427
77614,42466.09046066058
77616,36561.37343183857
77617,62215.01283197616
